    ,Название    Пиво Д,Категория,,Цена,,Количество,А Пиво    Стоимость
,     Крылы острое,Закуски,_____________________________   ,125,₽ / ,1,_____________________________   125₽ / 1
,     Стрипсы,Закуски,_____________________________   ,139,₽ / ,1,_____________________________   139₽ / 1
,     Байтсы,Закуски,_____________________________   ,139,₽ / ,1,_____________________________   139₽ / 1
,     Мойва,Закуски,_____________________________   ,135,₽ / ,1,_____________________________   135₽ / 1
,     Гренки,Закуски,_____________________________   ,59,₽ / ,1,_____________________________   59₽ / 1
,     Креветка в панировке,Закуски,_____________________________   ,239,₽ / ,1,_____________________________   239₽ / 1
,     Пальчики куриные в острой панировке,Закуски,_____________________________   ,59,₽ / ,1,_____________________________   59₽ / 1
,     Хрустящий Сосисон - мини (говядина),Закуски,_____________________________   ,119,₽ / ,1,_____________________________   119₽ / 1
,     Хрустящий Сосисон- лонг (говядина),Закуски,_____________________________   ,119,₽ / ,1,_____________________________   119₽ / 1
,     Голень куриная в хрустящей панировке,Закуски,_____________________________   ,149,₽ / ,1,_____________________________   149₽ / 1
,     Стрипсы острые,Закуски,_____________________________   ,139,₽ / ,1,_____________________________   139₽ / 1
